T,c,eta_alpha,Tide,HasDendrite,Tsc,HasReachedHeightLimitof180μm,Nd,AR_max,AR_avg,tau_max
298,0.07,-0.3,324.8047526,0,324.8047526,0,0,0,0,1
298,0.07,-0.4,67.2677,1,143.5377,1,6,198.1882741,137.7497914,3.080353369
298,0.07,-0.5,38.00144,1,52.38894,1,21,2584.939542,361.1938464,3.352192639
298,0.07,-0.6,0.830015625,1,3.653433594,1,44,1273.320574,718.3804199,9.949102693
298,0.09,-0.2,497.3243668,0,497.3243668,1,0,0,0,1
298,0.09,-0.3,292.9951758,0,292.9951758,1,0,0,0,1
298,0.09,-0.4,58.1052,1,127.8302,1,6,321.808942,178.8304696,3.869144911
298,0.09,-0.5,33.8552,1,44.0352,1,12,1326.585534,318.7711258,2.779482498
298,0.09,-0.6,0.6302,1,2.85395,1,45,1406.982371,698.5164893,10.53903287
298,0.11,-0.2,500,0,500,0,0,0,0,1
298,0.11,-0.3,285,0,285,1,0,0,0,1
298,0.11,-0.4,54.0477,1,118.6277,1,6,227.303644,262.1359956,3.858258271
298,0.11,-0.5,32.50144,1,41.70144,1,15,1394.018275,332.2604469,3.150805354
298,0.11,-0.6,0.5094,1,2.3628375,1,40,1110.684746,595.2066062,10.82739097
298,0.13,-0.2,500,0,500,0,0,0,0,1
298,0.13,-0.3,298.1827,0,298.1827,1,0,0,0,1
298,0.13,-0.4,52.0502,1,119.6602,1,7,334.5637642,184.721169,3.92848888
298,0.13,-0.5,33.804,1,43.0015,1,17,2671.053553,376.9330829,3.532507363
298,0.13,-0.6,0.413,1,2.183625,1,33,763.1730183,495.2291168,13.26499503
298,0.15,-0.3,332.7949557,0,332.7949557,1,0,0,0,1
298,0.15,-0.4,62.7252,1,131.3352,1,8,392.4284434,138.8094053,3.279357591
298,0.15,-0.5,36.87515,1,45.79515,1,16,1189.703952,268.3531819,3.69324375
298,0.15,-0.6,0.261484375,1,1.802734375,1,38,642.4117205,485.6253461,14.34271168
308,0.05,-0.2,495.9056168,0,495.9056168,1,0,0,0,1
308,0.05,-0.3,318.6527,0,318.6527,1,0,0,0,1
308,0.05,-0.4,60.85145,1,130.44145,1,7,325.2944776,169.6236766,3.462220583
308,0.05,-0.5,36.5352,1,50.1452,1,14,1401.076086,298.0318869,4.042369875
308,0.05,-0.6,0.9706168,1,3.835831644,1,45,1722.17971,797.8210237,10.20758776
308,0.07,-0.2,397.2818668,0,397.2818668,1,0,0,0,1
308,0.07,-0.3,253.88645,0,253.88645,1,0,0,0,1
308,0.07,-0.4,50.40645,1,104.55645,1,7,374.6457951,183.4231431,3.544860462
308,0.07,-0.5,27.30144,1,36.57269,1,11,1726.124507,499.6143777,3.893336358
308,0.07,-0.6,0.8188,1,3.2786125,1,43,1700.244784,687.3982153,11.33983614
308,0.09,-0.3,225.67645,0,225.67645,1,0,0,0,1
308,0.09,-0.4,44.4302,1,92.6752,1,8,404.2149984,194.0593575,3.809232069
308,0.09,-0.5,22.172864,1,29.221614,1,17,2697.347242,457.8187239,3.452366545
308,0.09,-0.6,0.519215625,1,2.321090625,1,36,1572.41227,725.159992,10.45899565
308,0.11,-0.2,345.6806168,0,345.6806168,1,0,0,0,1
308,0.11,-0.3,217.3477,0,217.3477,1,0,0,0,1
308,0.11,-0.4,38.2227,1,79.3277,1,7,506.1241005,188.1230264,2.843024813
308,0.11,-0.5,19.421056,1,25.616056,1,11,1681.394418,587.5094571,3.939218167
308,0.11,-0.6,0.416015625,1,1.934453125,1,27,1105.602377,682.7159577,11.59553245
308,0.13,-0.2,358.4806168,0,358.4806168,1,0,0,0,1
308,0.13,-0.3,223.8177,0,223.8177,1,0,0,0,1
308,0.13,-0.4,37.3202,1,78.1252,1,9,507.5893824,185.5096211,2.947662196
308,0.13,-0.5,17.9752,1,23.8002,1,10,1685.356788,601.8922932,4.380665788
308,0.13,-0.6,0.296425,1,1.6167375,1,38,868.6490783,559.2709517,12.13566863
308,0.15,-0.2,392.6056168,0,392.6056168,1,0,0,0,1
308,0.15,-0.3,244.1527,0,244.1527,1,0,0,0,1
308,0.15,-0.4,53.0252,1,96.9252,1,7,464.7816236,207.6750618,3.88988064
308,0.15,-0.5,20.59505,1,25.7563,1,15,1496.200472,283.4728901,3.359987675
308,0.15,-0.6,0.228428125,1,1.394678125,1,28,567.9179771,446.6272965,13.50961212
318,0.05,-0.2,401.1393668,0,401.1393668,1,0,0,0,1
318,0.05,-0.3,254.98395,1,259.46395,1,9,11.49759888,7.336665715,1
318,0.05,-0.4,42.1326,1,100.1826,1,8,411.5194753,219.8914785,4.285349785
318,0.05,-0.5,27.37519844,1,35.78894844,1,12,1715.724658,473.3654929,3.580431267
318,0.05,-0.6,0.6952,1,2.8336375,1,44,1562.224821,852.0316473,9.777387704
318,0.07,-0.2,320.6343668,0,320.6343668,1,0,0,0,1
318,0.07,-0.3,206.8902,1,207.1502,1,7,3.451325463,17.60880339,1
318,0.07,-0.4,42.6302,1,80.4852,1,8,500.4363579,262.4570252,3.717631697
318,0.07,-0.5,18.0952,1,25.3130125,1,13,1798.753848,611.7153679,4.875904755
318,0.07,-0.6,0.51810625,1,2.27185625,1,39,1495.18683,779.4933579,10.51570956
318,0.09,-0.2,285.4003125,0,285.4003125,1,0,0,0,1
318,0.09,-0.3,179.2152,1,183.1152,1,1,19.21538616,19.21538616,1
318,0.09,-0.4,40.2377,1,69.8227,1,10,400.5030091,204.7485571,3.100512769
318,0.09,-0.5,12.501056,1,17.942306,1,11,1677.793248,677.2743925,5.017438681
318,0.09,-0.6,0.4106168,1,1.6790543,1,42,1429.505292,744.0576675,10.16156695
318,0.11,-0.2,274.391224,0,274.391224,1,0,0,0,1
318,0.11,-0.3,174.7252,1,176.2052,1,1,6.933652831,6.933652831,1
318,0.11,-0.4,38.2502,1,65.5802,1,6,600.2882065,318.2418115,3.236241011
318,0.11,-0.5,11.1550625,1,16.067875,1,10,1512.269095,721.6074246,5.028490655
318,0.11,-0.6,0.32141875,1,1.42110625,1,44,1258.349212,653.3930648,10.78253935
318,0.13,-0.2,281.2852,0,281.2852,1,0,0,0,1
318,0.13,-0.3,171.5377,1,178.2277,1,7,20.77746356,6.028960645,1.033651835
318,0.13,-0.4,81.8251,1,96.7451,1,9,247.8893872,104.4549359,3.371819858
318,0.13,-0.5,1.8552,1,7.00004375,1,24,1721.556597,825.387164,10.036012
318,0.13,-0.6,0.233440625,1,1.252190625,1,36,846.5838864,470.5828949,12.1854083
318,0.15,-0.2,304.8931168,0,304.8931168,1,0,0,0,1
